"","Gene","SPM.vs.Other","SM.vs.Other","FM.vs.Other","AveExpr","F","P.Value","adj.P.Val"
"111","GRMZM2G170016",-0.98553102874531,-0.355786213401035,1.34131724214634,5.68286472111711,26.2618316640819,3.93216219662187e-12,7.68932546305173e-10
"112","GRMZM2G100114",-1.09651870549714,-0.0934786462967492,1.18999735179389,6.06852417689523,26.2298645157356,4.05989292532381e-12,7.86821748545346e-10
"113","GRMZM2G048375",-0.687319289319554,-0.650429648891239,1.33774893821079,6.1169503849237,26.2173421567543,4.11105200965288e-12,7.89685795765712e-10
"114","GRMZM2G468615",-0.720701484744057,-0.660863410680089,1.38156489542415,5.76711212261425,26.1771018576536,4.27985554679334e-12,8.11075687942646e-10
"115","GRMZM2G131087",1.05368785862249,0.477002070302739,-1.53068992892523,6.64518871974366,26.1730716101241,4.29713922940221e-12,8.11075687942646e-10
"116","GRMZM2G041980",-1.30468741052555,0.307683697072806,0.997003713452748,5.87846929746374,25.9587375916351,5.32431212205026e-12,9.96288956217438e-10
"117","AC233851.1-FG008",-0.429364533598831,-0.942784766661348,1.37214930026018,5.83091625398411,25.9062400114037,5.61129260868809e-12,1.04101467832636e-09
"118","GRMZM2G127328",-1.06754009652707,-0.366112231408789,1.43365232793586,5.3954148411122,25.8398524242578,5.99645638150418e-12,1.103043069635e-09
"119","GRMZM2G180190",0.921371300610603,0.552440313186051,-1.47381161379665,7.14164870227595,25.8160347949784,6.14099217393209e-12,1.12013761451571e-09
"120","GRMZM5G801949",-0.992919241529894,-0.754006934742863,1.74692617627276,8.68322715861119,25.61589670982,7.50166057555376e-12,1.35692537044142e-09
"121","GRMZM2G125034",-0.638856465387715,-0.689621583348578,1.32847804873629,6.3755974989076,25.4684090428134,8.69381691105713e-12,1.5595701642265e-09
"122","GRMZM2G448213",-0.91322568182217,-0.376226219776676,1.28945190159885,5.86344502404835,25.4556042757016,8.80585499185313e-12,1.56672039715708e-09
"123","GRMZM2G097182",-1.10828941167942,-0.0300706067817029,1.13836001846112,6.103752947504,25.3311959762575,9.97243851846648e-12,1.7598516299336e-09
"124","GRMZM2G096946",-1.0028918504843,-0.365452108950564,1.36834395943487,7.08777272980135,25.1899281042102,1.14855877665449e-11,2.01053361339213e-09
"125","GRMZM2G129291",-0.952369288138074,-0.304284085437245,1.25665337357532,5.89551052308683,25.1082934064831,1.24625445430169e-11,2.1640959348058e-09
"126","GRMZM2G103771",-0.89141016736482,-0.415481038389388,1.30689120575421,5.76250987705872,25.0689889610308,1.29621316283807e-11,2.22427386844429e-09
"127","GRMZM2G367094",1.38020507421823,-0.170354792242941,-1.20985028197529,7.26826214663586,25.0649922384007,1.30140413384514e-11,2.22427386844429e-09
"128","GRMZM2G112799",-0.536922798281507,-0.775395952511716,1.31231875079322,6.2981936796108,25.0204011245601,1.36074847601836e-11,2.30753175159802e-09
"129","GRMZM2G361064",-0.875735639702784,-0.44171610347976,1.31745174318254,6.6930137057884,24.9150276747092,1.51196230701746e-11,2.54408169272255e-09
"130","GRMZM2G156307",-1.06073109856299,-0.192829191001855,1.25356028956484,6.80608367199065,24.8791843518585,1.56713901113473e-11,2.61663995197619e-09
"131","GRMZM2G003526",-0.683091223378566,-0.664498859867912,1.34759008324648,5.76195679632819,24.8531901173286,1.60840966581325e-11,2.66504887069789e-09
"132","GRMZM2G004878",0.989162507117022,0.470588472930447,-1.45975098004747,7.77006967989053,24.8192782070555,1.66388930355285e-11,2.73608948658472e-09
"133","GRMZM2G156712",-0.811798200921088,-0.471004041350442,1.28280224227153,5.93642012351787,24.6661335303624,1.93925231194268e-11,3.16491809646825e-09
"134","AC209050.3-FG003",-0.653683113000708,-0.739305711115662,1.39298882411637,7.03553664630811,24.5855254376857,2.10204479997046e-11,3.4049988379223e-09
"135","GRMZM2G019411",-0.961312578053831,-0.320856779252399,1.28216935730623,5.70886487406038,24.5584661380353,2.15970121318587e-11,3.47247959506759e-09
"136","GRMZM2G061758",0.875874139575316,0.76594086107075,-1.64181500064607,8.86772072510309,24.3856834652731,2.56703762164335e-11,4.09706754524931e-09
"137","AC217665.3-FG005",-0.793118152639608,-0.538659568303601,1.33177772094321,5.68015509004925,24.2739617602831,2.8704656461359e-11,4.54790710328656e-09
"138","GRMZM2G083855",-0.676561336277684,-0.604524166158614,1.2810855024363,6.33188857738445,24.0613270039587,3.55057307123401e-11,5.58469123798589e-09
"139","GRMZM2G381638",-0.816737372080772,-0.546966767674553,1.36370413975532,5.53119729652112,23.9495260603472,3.97057119660374e-11,6.20037542399142e-09
"140","GRMZM2G146472",-0.120528922618632,1.38898621930062,-1.26845729668199,8.0992761468489,23.7809149337999,4.69980533199877e-11,7.25448035999843e-09
"141","GRMZM2G335407",-0.933752733704607,-0.268621270110694,1.2023740038153,6.00591220993677,23.7782306868896,4.71243771657504e-11,7.25448035999843e-09
"142","GRMZM2G430807",-1.21684697924984,0.956456182909549,0.260390796340292,6.51326031004847,23.5474069405044,5.93596187061226e-11,9.07366115235984e-09
"143","GRMZM2G447347",-0.719054284678288,-0.548324432696293,1.26737871737458,5.93803935041631,23.5056537681423,6.18905404280055e-11,9.39437811559641e-09
"144","GRMZM2G365035",-0.925622004770682,-0.261856016357951,1.18747802112863,6.08576255791612,23.4490928909207,6.5492014881786e-11,9.87201163211144e-09
"145","GRMZM2G089776",-0.888918091378873,-0.39223327882707,1.28115137020594,5.66945788027705,23.4170761608173,6.76227831498407e-11,1.01228974555203e-08
"146","GRMZM2G126397",-1.11258930672068,-0.828680576218427,1.9412698829391,10.111325902104,23.3748031048159,7.05426866590959e-11,1.04876681960434e-08
"147","GRMZM2G151997",-0.488652137999019,-0.793780801655124,1.28243293965414,6.63546755371349,23.2948424820281,7.6414971109069e-11,1.12834242373704e-08
"148","GRMZM2G176375",-1.30070609289968,-0.469729171681245,1.77043526458092,9.59073093660188,23.2669639822361,7.85752790210149e-11,1.15240203137172e-08
"149","GRMZM2G321839",-0.876830708850949,-0.326421217613588,1.20325192646454,6.07025114330268,23.2586599977314,7.92304835595927e-11,1.15421266855337e-08
"150","GRMZM2G703858",-0.806621321305899,-0.418554561231723,1.22517588253762,6.22310679580014,23.1887302068614,8.49693759870005e-11,1.22376267658567e-08
"151","GRMZM2G053206",-1.08576666510097,0.0059398599315208,1.07982680516945,6.4628039332851,23.1868146325311,8.51322971364765e-11,1.22376267658567e-08
"152","AC205471.4-FG003",-0.612561244307098,-0.648942470081722,1.26150371438882,6.05360702534783,23.1793970369605,8.57661219084149e-11,1.22476279088425e-08
"153","GRMZM2G059428",-1.23389671660479,0.52775787882533,0.706138837779458,6.30023015036085,23.1119228427474,9.17528246815919e-11,1.30169072714943e-08
"154","GRMZM2G421234",-0.203191527253732,-0.997418188193338,1.20060971544707,6.38955689225243,23.0608571932582,9.65599368382928e-11,1.36099349935843e-08
"155","GRMZM2G363813",-1.05845027758607,-0.0815486667512642,1.13999894433733,6.68294250479798,22.9119905352435,1.1205956728651e-10,1.56926772098128e-08
"156","GRMZM2G319786",-0.920859088822661,-0.418012024475222,1.33887111329788,5.44678686688332,22.8652649273607,1.17419875292023e-10,1.63379218787734e-08
"157","GRMZM2G329069",-0.951065290718025,-0.196494967231948,1.14756025794997,6.20183521628143,22.7655057363448,1.29737785590485e-10,1.79368686243762e-08
"158","GRMZM2G105604",-0.789047690690714,-0.523826906880739,1.31287459757145,6.94724067323812,22.6722396500005,1.42420146318689e-10,1.95656436455283e-08
"159","GRMZM2G303044",1.17916052820519,0.106443301747804,-1.28560382995299,6.74987360670559,22.661314726283,1.43984605792924e-10,1.96561625996302e-08
"160","GRMZM2G093838",-1.00645468646705,-0.208995760072753,1.2154504465398,5.64513472427861,22.6433371567538,1.46596506522903e-10,1.98876485661634e-08
"161","GRMZM2G343317",-0.554237542821955,-1.06295332599807,1.61719086882003,8.77595484298596,22.5257578320952,1.64887477024291e-10,2.22301091694986e-08
"162","GRMZM2G138355",-0.815621385289005,-0.41841262193015,1.23403400721916,5.79341135471846,22.4209961078723,1.83098637077474e-10,2.45329568913805e-08
"163","AC196489.3-FG002",-0.282785291916936,-0.936354307268711,1.21913959918565,6.7126921981672,22.412853965385,1.8459553799037e-10,2.45817837277238e-08
"164","GRMZM2G116140",-0.798502980286304,-0.526179995844268,1.32468297613057,7.06933899465087,22.3544169310759,1.95704170499614e-10,2.59021629564916e-08
"165","GRMZM2G142802",0.212453377642905,1.09895726630762,-1.31141064395052,7.79611501559076,22.1072348119376,2.50582022984002e-10,3.29644447932773e-08
"166","GRMZM2G073755",0.246850454589002,1.05760564163211,-1.30445609622111,6.66115487186249,22.0931018402609,2.54148635669202e-10,3.32322306375645e-08
"167","GRMZM2G044137",-0.168678478271566,-1.01455693838645,1.18323541665801,6.90475191008006,21.9458852317109,2.94457854507581e-10,3.82724682032429e-08
"168","GRMZM2G092125",-0.342336502836413,1.29345160537158,-0.951115102535169,6.80485599717779,21.8851133239902,3.12907553892527e-10,4.04284009809e-08
"169","GRMZM2G132212",-0.577609325419029,-0.654711324933434,1.23232065035246,6.47659380675897,21.8468319489671,3.25118316536697e-10,4.17575040162458e-08
"170","GRMZM2G082504",-1.05998999257347,-0.218330778988926,1.2783207715624,5.41617570033502,21.8368785174844,3.28370517855809e-10,4.19271203563423e-08
"171","GRMZM2G468111",-0.924980946808479,-0.335450862275416,1.2604318090839,7.03213590219613,21.7983814549842,3.41258297405304e-10,4.33178514823364e-08
"172","GRMZM2G300135",-0.698653648251673,-0.566315217851976,1.26496886610365,6.79579548206215,21.7148273341463,3.70996927826573e-10,4.68189495081605e-08
"173","GRMZM2G132958",-1.09907479617638,-0.478830321796505,1.57790511797288,8.7539960906754,21.7047249843044,3.74763863998317e-10,4.70209504736847e-08
"174","GRMZM2G153208",-1.28834462291458,0.619011053989552,0.66933356892503,5.75711957755708,21.6521903496472,3.94978276142568e-10,4.9272404953739e-08
"175","GRMZM2G089619",0.865777578561444,0.458427948926486,-1.32420552748793,7.21258828492644,21.5219825175548,4.4990596685028e-10,5.58037652368696e-08
"176","GRMZM2G042895",0.527250217738688,1.04985573330675,-1.57710595104544,9.22612188645544,21.4132671973596,5.01575386715837e-10,6.1859064454852e-08
"177","GRMZM5G872578",-0.629466817982299,-0.609690888454833,1.23915770643713,5.79794008841819,21.3962154296171,5.1020146968615e-10,6.25674186497603e-08
"178","GRMZM2G165099",-0.81800134142445,-0.498460816076317,1.31646215750077,7.22598373955987,21.3286307133351,5.45875213321309e-10,6.65661088783838e-08
"179","GRMZM2G460383",-0.82486529625617,-0.384774171733757,1.20963946798993,5.72051948462821,21.24458045218,5.93739495705259e-10,7.19983770602142e-08
